2548,130,111,27,13495
2548,130,111,27,16500
2823,152,154,26,16500
2337,109,102,30,13950
2824,136,115,22,17450
2507,136,110,25,15250
2844,136,110,25,17710
2954,136,110,25,18920
3086,131,140,20,23875
2395,108,101,29,16430
2395,108,101,29,16925
2710,164,121,28,20970
2765,164,121,28,21105
3055,164,121,25,24565
3230,209,182,22,30760
3380,209,182,22,41315
3505,209,182,20,36880
1488,61,48,53,5151
1874,90,70,43,6295
1909,90,70,43,6575
1876,90,68,41,5572
1876,90,68,38,6377
2128,98,102,30,7957
1967,90,68,38,6229
1989,90,68,38,6692
1989,90,68,38,7609
2191,98,102,30,8558
2535,122,88,30,8921
2811,156,145,24,12964
1713,92,58,54,6479
1819,92,76,38,6855
1837,79,60,42,5399
1940,92,76,34,6529
1956,92,76,34,7129
2010,92,76,34,7295
2024,92,76,34,7295
2236,110,86,33,7895
2289,110,86,33,9095
2304,110,86,33,8845
2372,110,86,33,10295
2465,110,101,28,12945
2293,110,100,31,10345
2337,111,78,29,6785
2734,119,90,29,11048
4066,258,176,19,32250
4066,258,176,19,35550
3950,326,262,17,36000
1890,91,68,31,5195
1900,91,68,38,6095
1905,91,68,38,6795
1945,91,68,38,6695
1950,91,68,38,7395
2380,70,101,23,10945
2380,70,101,23,11845
2385,70,101,23,13645
2500,80,135,23,15645
2385,122,84,32,8845
2410,122,84,32,8495
2385,122,84,32,10595
2410,122,84,32,10245
2443,122,64,42,10795
2425,122,84,32,11245
2670,140,120,27,18280
2700,134,72,39,18344
3515,183,123,25,25552
3750,183,123,25,28248
3495,183,123,25,28176
3770,183,123,25,31600
3740,234,155,18,34184
3685,234,155,18,35056
3900,308,184,16,40960
3715,304,184,16,45400
2910,140,175,24,16503
1918,92,68,41,5389
1944,92,68,38,6189
2004,92,68,38,6669
2145,98,102,30,7689
2370,110,116,30,9959
2328,122,88,32,8499
2833,156,145,24,12629
2921,156,145,24,14869
2926,156,145,24,14489
2365,122,88,32,6989
2405,122,88,32,8189
2403,110,116,30,9279
2403,110,116,30,9279
1889,97,69,37,5499
2017,103,55,50,7099
1918,97,69,37,6649
1938,97,69,37,6849
2024,97,69,37,7349
1951,97,69,37,7299
2028,97,69,37,7799
1971,97,69,37,7499
2037,97,69,37,7999
2008,97,69,37,8249
2324,120,97,34,8949
2302,120,97,34,9549
3095,181,152,22,13499
3296,181,152,22,14399
